episode,reward
1,0.212302
2,7.433929
3,8.55
4,18.916667
5,14.166667
6,7.358929
7,20.141667
8,10.561111
9,20.166667
10,20.583333
11,15.296429
12,20.791667
13,12.125
14,4.519444
15,21.583333
16,17.780556
17,20.616667
18,4.627778
19,5.547222
20,16.825
21,20.975
22,19.863889
23,5.772222
24,10.741667
25,21.046429
26,16.027778
27,15.041667
28,23.75
29,22.833333
30,23.75
31,19.225
32,19.133333
33,22.5
34,24.0
35,18.291667
36,21.558333
37,2.313095
38,22.252778
39,20.183333
40,22.0
41,19.088095
42,22.641667
43,19.641667
44,22.308333
45,23.5
46,23.75
47,18.491667
48,22.791667
49,21.375
50,17.683333
51,21.166667
52,22.016667
53,22.916667
54,22.75
55,23.75
56,13.197222
57,6.158333
58,7.7
59,22.058333
60,16.433333
61,23.25
62,18.254762
63,23.75
64,22.166667
65,21.641667
66,10.811111
67,19.558929
68,16.377778
69,9.508333
70,21.583333
71,12.838889
72,22.641667
73,8.788889
74,21.033333
75,21.841667
76,21.833333
77,4.544444
78,8.846429
79,24.0
80,20.225
81,22.125
82,11.827778
83,22.416667
84,11.905556
85,23.083333
86,20.208333
87,21.791667
88,23.655556
89,19.141667
90,23.75
91,20.391667
92,21.85
93,21.213095
94,21.591667
95,21.791667
96,4.461111
97,23.75
98,23.166667
99,23.75
100,8.063889
101,19.766667
102,22.391667
103,19.544444
104,21.125
105,5.447222
106,20.916667
107,20.316667
108,24.0
109,17.579762
110,17.908333
111,22.266667
112,19.1
113,22.5
114,23.083333
115,13.88254
116,22.266667
117,18.933333
118,23.5
119,23.083333
120,12.238889
121,21.213095
122,23.041667
123,21.058333
124,16.216667
125,19.391667
126,22.225
127,24.0
128,18.733333
129,22.666667
130,23.75
131,24.0
132,15.641667
133,12.863889
134,19.463095
135,21.005556
136,23.1
137,19.213095
138,21.796429
139,20.896429
140,23.416667
141,20.941667
142,4.655556
143,20.296429
144,21.291667
145,20.891667
146,23.416667
147,3.866667
148,24.0
149,12.019444
150,17.975
151,20.6
152,21.796429
153,22.141667
154,22.291667
155,21.808333
156,6.883333
157,16.186111
158,6.963889
159,20.341667
160,22.708333
161,18.280556
162,22.333333
163,21.627778
164,19.938095
165,19.866667
166,20.713095
167,23.166667
168,22.125
169,5.019444
170,7.149206
171,5.088889
172,5.744444
173,21.641667
174,17.058333
175,4.883333
176,21.141667
177,18.921429
178,4.252778
179,12.85
180,21.25
181,20.666667
182,13.554762
183,13.530556
184,4.854762
185,11.358333
186,16.366667
187,22.291667
188,14.627778
189,7.261111
190,6.454762
191,5.072222
192,4.808333
193,16.961111
194,3.625
195,3.858333
196,3.927778
197,4.901984
198,5.311111
199,1.786111
200,8.730556
201,2.483333
202,5.583333
203,7.979762
204,2.727778
205,14.372222
206,8.452778
207,9.983333
208,6.597222
209,4.244444
210,6.408333
211,5.316667
212,19.391667
213,4.044444
214,17.016667
215,5.927778
216,2.347222
217,19.941667
218,7.65
219,10.172222
220,2.486111
221,12.6
222,6.721429
223,3.122222
224,23.083333
225,23.75
226,5.897222
227,15.588889
228,15.627778
229,17.755556
230,4.897222
231,19.941667
232,5.344444
233,13.597222
234,6.344444
235,17.744444
236,19.005556
237,15.397222
238,6.088889
239,12.738889
240,15.977778
241,3.855556
242,6.052778
243,5.541667
244,18.419444
245,4.136111
246,2.894444
247,22.375
248,2.844444
249,2.483333
250,20.338095
251,20.425
252,9.383333
253,3.50754
254,8.616667
255,14.061111
256,5.858333
257,3.011111
258,13.93254
259,12.627778
260,18.868651
261,8.363889
262,6.480556
263,22.1
264,4.980556
265,3.511111
266,5.055556
267,10.522222
268,8.172222
269,20.575
270,20.766667
271,5.925
272,7.322222
273,20.422222
274,18.377778
275,8.175
276,21.141667
277,20.129762
278,3.147222
279,10.761111
280,6.644444
281,22.533333
282,22.666667
283,15.961111
284,5.822222
285,11.25
286,20.296429
287,23.75
288,9.119444
289,8.438889
290,16.297222
291,19.086111
292,22.641667
293,6.194444
294,6.1
295,6.044444
296,4.094444
297,22.016667
298,23.75
299,3.341667
300,19.75
301,19.516667
302,13.480556
303,24.0
304,22.291667
305,13.711111
306,22.541667
307,4.552778
308,10.605556
309,5.077778
310,9.938889
311,5.994444
312,16.172222
313,2.711111
314,5.816667
315,4.008333
316,15.171429
317,1.575
318,6.166667
319,5.022222
320,14.488095
321,18.558333
322,9.046429
323,19.766667
324,5.258333
325,8.533333
326,10.746429
327,7.297222
328,19.116667
329,13.305556
330,21.183333
331,14.558333
332,9.516667
333,18.725
334,21.541667
335,8.980556
336,15.405556
337,16.547222
338,5.677778
339,4.247222
340,1.702778
341,11.875
342,1.421429
343,8.075
344,12.841667
345,10.255556
346,7.713889
347,1.338889
348,16.466667
349,17.736111
350,16.327778
351,15.122222
352,24.0
353,13.327778
354,1.555556
355,13.619444
356,2.686111
357,2.143651
358,4.877778
359,20.866667
360,5.755556
361,7.619444
362,6.236111
363,3.522222
364,7.275
365,4.186111
366,6.463889
367,4.136111
368,2.286111
369,3.605556
370,12.438889
371,21.546429
372,5.727778
373,3.283333
374,5.113889
375,21.433333
376,21.822222
377,6.552778
378,14.811111
379,3.654762
380,19.758333
381,13.619444
382,22.791667
383,21.738889
384,6.730556
385,12.825
386,22.458333
387,7.916667
388,8.3
389,7.143651
390,17.366667
391,21.811111
392,7.0
393,9.261111
394,0.427778
395,9.601984
396,20.241667
397,19.641667
398,15.547222
399,5.372222
400,9.838889
401,11.833333
402,11.70754
403,11.111111
404,17.605556
405,5.752778
406,4.563889
407,8.45
408,11.869444
409,13.511111
410,11.669444
411,5.863095
412,22.063889
413,2.838889
414,2.675
415,19.075
416,18.925
417,5.477778
418,19.35
419,12.547222
420,13.322222
421,4.808333
422,6.030556
423,23.266667
424,22.016667
425,21.322222
426,1.555556
427,21.902778
428,6.151984
429,2.922222
430,7.036111
431,2.679762
432,2.85
433,17.966667
434,4.719444
435,4.105556
436,4.202778
437,20.372222
438,12.266667
439,9.125
440,13.655556
441,21.541667
442,14.786111
443,5.088889
444,16.575
445,6.302778
446,1.95
447,8.936111
448,16.269444
449,3.527778
450,3.158333
451,2.465873
452,3.147222
453,2.693651
454,2.916667
455,19.963095
456,21.019444
457,20.766667
458,9.55
459,21.891667
460,14.991667
461,4.144444
462,4.508333
463,21.241667
464,23.5
465,18.283333
466,18.536111
467,21.641667
468,8.141667
469,23.75
470,18.905556
471,15.908333
472,3.488889
473,11.141667
474,10.063889
475,2.805556
476,5.230556
477,10.95
478,17.546429
479,7.302778
480,4.591667
481,7.569444
482,7.219444
483,6.613095
484,9.480556
485,23.75
486,3.938889
487,7.769444
488,4.925
489,21.516667
490,6.180556
491,3.469444
492,13.422222
493,12.994444
494,10.408333
495,22.641667
496,4.672222
497,16.313889
498,16.240079
499,20.475
500,23.416667
501,3.911111
502,9.486111
503,21.158333
504,20.766667
505,19.591667
506,20.708333
507,23.041667
508,21.516667
509,22.583333
510,18.083333
511,20.713095
512,14.644444
513,8.783333
514,22.141667
515,20.046429
516,21.791667
517,10.511111
518,21.225
519,22.291667
520,21.296429
521,22.463889
522,11.755556
523,21.641667
524,21.058333
525,21.933333
526,22.041667
527,21.833333
528,7.238889
529,11.908333
530,20.683333
531,7.241667
532,21.85
533,21.641667
534,5.438889
535,20.85
536,22.308333
537,22.058333
538,5.522222
539,9.336111
540,22.35
541,6.072222
542,22.291667
543,22.241667
544,24.0
545,20.225
546,22.666667
547,20.6
548,21.6
549,24.0
550,20.046429
551,13.35
552,21.225
553,20.225
554,11.7
555,15.463889
556,23.416667
557,22.308333
558,21.141667
559,15.641667
560,4.147222
561,20.908333
562,4.141667
563,16.655556
564,9.505556
565,9.686111
566,8.605556
567,4.111111
568,1.794444
569,7.25
570,7.508333
571,10.080556
572,20.359524
573,21.102778
574,12.369444
575,24.0
576,3.572222
577,8.111111
578,5.727778
579,11.261111
580,22.708333
581,15.405556
582,17.404762
583,13.394444
584,13.855556
585,14.588095
586,15.016667
587,3.369444
588,5.602778
589,3.305556
590,14.186111
591,2.966667
592,9.544444
593,6.127778
594,12.675
595,6.243651
596,20.825
597,1.933333
598,3.394444
599,8.211111
600,9.311111
601,4.966667
602,13.3
603,19.633333
604,8.666667
605,3.838095
606,5.108333
607,7.80754
608,2.140873
609,1.958333
610,10.811111
611,10.788095
612,7.002778
613,1.890873
614,4.497222
615,3.672222
616,21.333333
617,20.996429
618,4.911111
619,8.726984
620,11.024206
621,7.133333
622,8.383333
623,4.727778
624,5.497222
625,2.019444
626,24.294444
627,24.0
628,16.161111
629,21.25
630,14.483333
631,14.811111
632,22.666667
633,5.675
634,23.416667
635,23.75
636,6.005556
637,20.6
638,20.216667
639,4.152778
640,17.919444
641,18.425
642,21.441667
643,20.475
644,23.166667
645,20.975
646,9.702778
647,20.958333
648,19.1
649,11.85
650,22.916667
651,5.983333
652,22.225
653,23.083333
654,21.208333
655,21.475
656,22.333333
657,7.419444
658,21.244444
659,21.141667
660,9.686111
661,17.730556
662,18.683333
663,21.616667
664,21.905556
665,20.991667
666,16.719444
667,5.480556
668,17.891667
669,21.958333
670,4.108333
671,21.891667
672,15.294444
673,23.75
674,4.994444
675,12.283333
676,10.952778
677,4.383333
678,17.925
679,5.966667
680,7.822222
681,10.302778
682,22.329762
683,3.122222
684,10.338889
685,18.047222
686,18.616667
687,12.283333
688,10.369444
689,2.869444
690,20.129762
691,23.75
692,15.419444
693,2.874206
694,22.666667
695,8.847222
696,16.161111
697,23.166667
698,20.655556
699,23.416667
700,14.072222
701,20.592857
702,20.85
703,19.546429
704,21.394444
705,16.461111
706,8.588889
707,19.841667
708,9.565873
709,20.975
710,13.45
711,23.780556
712,2.722222
713,11.913889
714,13.95
715,6.463889
716,6.633333
717,3.775
718,5.779762
719,5.447222
720,11.555556
721,6.147222
722,9.247222
723,21.102778
724,2.375
725,19.516667
726,20.6
727,18.208333
728,6.286111
729,8.433333
730,3.377778
731,12.641667
732,4.916667
733,19.283333
734,9.95
735,24.544444
736,6.102778
737,1.752778
738,17.727778
739,5.505556
740,3.661111
741,5.833333
742,20.819444
743,9.358333
744,20.766667
745,21.336111
746,23.166667
747,17.091667
748,21.35
749,13.241667
750,5.025
751,17.30754
752,10.852778
753,3.008333
754,8.033333
755,10.301984
756,4.155556
757,7.25
758,4.169444
759,16.175
760,4.577778
761,8.072222
762,10.911111
763,5.772222
764,20.808333
765,8.433333
766,21.391667
767,16.05
768,6.813889
769,8.783333
770,7.721429
771,2.755556
772,17.933333
773,5.961111
774,16.596429
775,12.077778
776,10.780556
777,22.216667
778,7.979762
779,7.2
780,10.022222
781,2.955556
782,23.416667
783,18.225
784,20.475
785,6.516667
786,20.463095
787,4.876984
788,20.796429
789,23.416667
790,16.85
791,18.375
792,23.25
793,9.618651
794,18.991667
795,20.088889
796,9.533333
797,6.8
798,5.358333
799,21.241667
800,4.046429
801,9.577778
802,17.991667
803,21.85
804,21.266667
805,2.724206
806,2.855556
807,15.066667
808,9.011111
809,0.063889
810,3.375
811,1.327778
812,4.05
813,16.316667
814,15.144444
815,10.975
816,2.958333
817,2.719048
818,6.571429
819,5.349206
820,7.017857
821,15.616667
822,7.771825
823,15.672222
824,15.436111
825,16.633333
826,6.338889
827,14.491667
828,16.619444
829,6.822222
830,6.935317
831,4.961111
832,13.341667
833,9.45
834,11.813889
835,2.615079
836,6.011111
837,6.22619
838,17.0
839,8.454762
840,14.55
841,15.669444
842,22.424206
843,4.35
844,4.272222
845,8.405556
846,6.091667
847,19.213095
848,21.208333
849,21.541667
850,9.468651
851,21.225
852,12.338889
853,1.941667
854,18.408333
855,22.391667
856,3.522222
857,23.416667
858,9.105556
859,8.352778
860,20.129762
861,17.924206
862,20.6
863,3.938889
864,7.343651
865,5.297222
866,21.225
867,20.6
868,6.727778
869,3.880556
870,11.7
871,14.961111
872,13.019444
873,3.552778
874,13.741667
875,5.847222
876,6.105556
877,3.672222
878,7.244444
879,8.483333
880,3.483333
881,4.938889
882,16.183333
883,3.970635
884,3.423413
885,8.537698
886,4.746825
887,7.990079
888,16.166667
889,9.474206
890,12.436111
891,6.408333
892,12.069444
893,11.020635
894,17.891667
895,1.846429
896,7.669444
897,7.746825
898,2.886111
899,3.379762
900,8.241071
901,8.148413
902,7.322222
903,4.577778
904,10.090873
905,4.89127
906,11.708333
907,12.641667
908,15.955556
909,5.838889
910,12.870635
911,17.35
912,21.541667
913,15.45
914,6.894444
915,17.863889
916,5.672222
917,8.825
918,4.130556
919,10.058333
920,8.947222
921,3.594444
922,5.769444
923,22.144444
924,6.161111
925,1.580556
926,4.111111
927,17.825
928,21.046429
929,12.494444
930,16.811111
931,16.355556
932,3.383333
933,1.263889
934,1.461111
935,10.263095
936,9.691667
937,23.405556
938,6.580556
939,1.805556
940,11.508333
941,11.188889
942,7.954762
943,3.816667
944,19.833333
945,12.477778
946,18.116667
947,6.938889
948,12.705556
949,16.905556
950,20.879762
951,22.791667
952,23.25
953,21.727778
954,22.041667
955,14.297222
956,22.916667
957,21.225
958,20.083333
959,12.877778
960,12.102778
961,13.394444
962,9.483333
963,10.272222
964,3.783333
965,15.868651
966,5.691667
967,2.969444
968,2.680556
969,5.041667
970,15.144444
971,8.966667
972,8.455556
973,8.452778
974,11.211111
975,8.491667
976,5.763889
977,2.038889
978,2.244444
979,10.675
980,0.833929
981,7.508333
982,7.741667
983,16.016667
984,5.183333
985,24.822222
986,10.641667
987,21.141667
988,14.183333
989,7.613889
990,11.863889
991,21.891667
992,13.863889
993,11.063095
994,7.565873
995,7.608333
996,5.263889
997,3.511111
998,3.775
999,5.383333
1000,8.566667
1001,7.227778
1002,2.058333
1003,8.783333
1004,2.494444
1005,6.616667
1006,12.979762
1007,6.047222
1008,7.016667
1009,10.558333
1010,6.541667
1011,-0.045238
1012,17.891667
1013,18.666667
1014,19.891667
1015,4.2
1016,18.127778
1017,5.824206
1018,3.797222
1019,15.404762
1020,9.569444
1021,10.333333
1022,5.494444
1023,5.044444
1024,7.022222
1025,19.041667
1026,19.266667
1027,21.266667
1028,23.75
1029,24.0
1030,23.75
1031,9.591667
1032,9.188889
1033,22.130556
1034,21.975
1035,3.5
1036,7.508333
1037,13.477778
1038,22.641667
1039,5.7
1040,4.644444
1041,5.977778
1042,1.130556
1043,19.218651
1044,6.075
1045,8.066667
1046,21.475
1047,3.480556
1048,21.25
1049,5.091667
1050,23.083333
1051,10.883333
1052,19.908333
1053,23.416667
1054,21.225
1055,18.711111
1056,14.711111
1057,21.352778
1058,4.161111
1059,2.483333
1060,4.922222
1061,6.768651
1062,20.630556
1063,18.683333
1064,8.577778
1065,13.994444
1066,21.572222
1067,6.119444
1068,2.736111
1069,5.291667
1070,11.063889
1071,21.916667
1072,23.041667
1073,22.85
1074,6.038889
1075,4.491667
1076,2.697222
1077,4.452778
1078,3.741667
1079,9.538889
1080,6.255556
1081,3.330556
1082,9.522222
1083,8.197222
1084,22.225
1085,21.891667
1086,4.336111
1087,6.327778
1088,13.816667
1089,19.118651
1090,23.041667
1091,24.752778
1092,21.666667
1093,21.755556
1094,8.383333
1095,12.302778
1096,23.75
1097,21.225
1098,12.436111
1099,23.166667
1100,23.041667
1101,20.563095
1102,23.75
1103,7.8
1104,12.363889
1105,23.416667
1106,5.816667
1107,8.955556
1108,6.480556
1109,12.647222
1110,16.905556
1111,11.925
1112,22.266667
1113,12.958333
1114,23.083333
1115,11.469444
1116,12.466667
1117,6.477778
1118,22.6
1119,9.755556
1120,3.697222
1121,3.291667
1122,12.286111
1123,16.172222
1124,9.905556
1125,7.741667
1126,4.905556
1127,5.391667
1128,18.85
1129,4.091667
1130,16.147222
1131,21.933333
1132,12.3
1133,8.408333
1134,6.425
1135,3.708333
1136,13.383333
1137,20.796429
1138,22.666667
1139,11.516667
1140,4.85
1141,5.305556
1142,4.591667
1143,15.33254
1144,4.7
1145,8.775
1146,16.183333
1147,6.075
1148,13.133333
1149,7.583333
1150,21.591667
1151,24.183333
1152,13.241667
1153,5.297222
1154,4.688889
1155,3.744444
1156,2.908333
1157,3.730556
1158,3.927778
1159,10.7
1160,4.769444
1161,22.75
1162,16.047222
1163,8.797222
1164,24.0
1165,17.991667
1166,13.044444
1167,22.916667
1168,14.291667
1169,21.213095
1170,4.25
1171,21.229762
1172,9.147222
1173,23.416667
1174,8.588889
1175,9.075
1176,2.597222
1177,15.444444
1178,1.872222
1179,3.383929
1180,23.416667
1181,16.727778
1182,17.244444
1183,22.313889
1184,11.847222
1185,12.019444
1186,4.913889
1187,4.875
1188,1.930556
1189,10.305556
1190,4.105556
1191,3.122222
1192,14.630556
1193,5.4
1194,16.186111
1195,15.213889
1196,9.730556
1197,7.658333
1198,7.230556
1199,9.191667
1200,9.744444
1201,7.205556
1202,3.563095
1203,23.416667
1204,23.905556
1205,21.044444
1206,20.546429
1207,19.1
1208,21.627778
1209,22.666667
1210,24.0
1211,8.169444
1212,8.358333
1213,5.622222
1214,23.75
1215,22.225
1216,21.541667
1217,20.047222
1218,13.866667
1219,9.197222
1220,2.472222
1221,3.508333
1222,3.719444
1223,4.613889
1224,16.494444
1225,21.241667
1226,4.9
1227,24.0
1228,23.041667
1229,11.575
1230,22.683333
1231,9.986111
1232,21.841667
1233,19.308333
1234,5.702778
1235,1.955556
1236,8.9
1237,11.897222
1238,21.641667
1239,13.102778
1240,22.916667
1241,22.791667
1242,23.75
1243,10.491667
1244,4.461111
1245,2.319444
1246,7.161111
1247,21.296429
1248,23.416667
1249,23.416667
1250,24.0
1251,22.641667
1252,3.341667
1253,3.358333
1254,9.586111
1255,16.575
1256,21.975
1257,23.041667
1258,22.172222
1259,20.475
1260,21.266667
1261,5.636111
1262,17.752778
1263,11.426984
1264,4.097222
1265,1.297222
1266,8.019444
1267,8.75
1268,7.619444
1269,2.138889
1270,6.430556
1271,21.433333
1272,6.416667
1273,6.644444
1274,9.719444
1275,8.541667
1276,10.343651
1277,4.919444
1278,4.886111
1279,5.616667
1280,4.468651
1281,11.463889
1282,2.344444
1283,5.3
1284,14.408333
1285,23.416667
1286,21.546429
1287,23.041667
1288,23.416667
1289,17.713889
1290,23.166667
1291,15.6
1292,1.913889
1293,23.041667
1294,5.619444
1295,6.788095
1296,4.040873
1297,22.766667
1298,10.752778
1299,22.225
1300,5.275
1301,23.041667
1302,21.796429
1303,13.063889
1304,1.513889
1305,1.897222
1306,22.738889
1307,4.886111
1308,21.396429
1309,19.272222
1310,21.491667
1311,11.080556
1312,22.766667
1313,2.541667
1314,9.936111
1315,3.352778
1316,23.083333
1317,19.308333
1318,9.744444
1319,3.316667
1320,8.125595
1321,4.269444
1322,8.966667
1323,9.3
1324,5.65
1325,15.030556
1326,6.872222
1327,13.027778
1328,10.341667
1329,22.225
1330,9.516667
1331,9.172222
1332,16.586111
1333,3.933333
1334,22.641667
1335,7.227778
1336,24.0
1337,16.572222
1338,22.641667
1339,15.005556
1340,21.475
1341,9.127778
1342,4.475
1343,3.542262
1344,12.036111
1345,21.45
1346,14.565873
1347,3.102778
1348,15.955556
1349,23.977778
1350,1.869444
1351,22.641667
1352,2.863095
1353,23.1
1354,4.269444
1355,24.0
1356,8.35
1357,22.225
1358,22.991667
1359,3.925
1360,9.952778
1361,4.872222
1362,1.325
1363,4.452778
1364,3.758333
1365,2.851984
1366,2.938889
1367,2.913889
1368,9.588889
1369,22.916667
1370,21.475
1371,20.061111
1372,3.341667
1373,21.377778
1374,7.202778
1375,22.008333
1376,17.651984
1377,23.041667
1378,17.683333
1379,22.791667
1380,23.416667
1381,5.502778
1382,19.041667
1383,10.640873
1384,3.338889
1385,22.641667
1386,24.933333
1387,20.65
1388,8.022222
1389,23.416667
1390,12.877778
1391,4.563889
1392,11.508333
1393,14.608333
1394,8.358333
1395,13.852778
1396,5.286111
1397,3.330556
1398,17.705556
1399,21.980556
1400,22.225
1401,4.533333
1402,3.138889
1403,11.508333
1404,5.613889
1405,11.040873
1406,23.041667
1407,15.030556
1408,21.796429
1409,23.083333
1410,22.141667
1411,16.116667
1412,1.738889
1413,5.086111
1414,2.475
1415,15.808333
1416,10.672222
1417,3.719444
1418,5.025
1419,7.563095
1420,6.841667
1421,1.352778
1422,4.872222
1423,16.096429
1424,8.005556
1425,4.494444
1426,23.041667
1427,19.877778
1428,4.497222
1429,19.297222
1430,17.155556
1431,8.422222
1432,5.672222
1433,23.75
1434,24.155556
1435,11.818651
1436,24.35
1437,22.225
1438,22.497222
1439,7.044444
1440,24.0
1441,8.394444
1442,22.666667
1443,2.952778
1444,18.936111
1445,19.108333
1446,23.416667
1447,24.0
1448,22.391667
1449,8.813095
1450,19.463889
1451,14.811111
1452,11.85
1453,4.897222
1454,23.041667
1455,10.752778
1456,19.697222
1457,21.146429
1458,10.024206
1459,21.238889
1460,24.0
1461,22.225
1462,8.35
1463,15.030556
1464,5.463889
1465,13.611111
1466,24.0
1467,22.641667
1468,15.794444
1469,12.286111
1470,9.2
1471,6.958333
1472,9.183333
1473,23.75
1474,17.341667
1475,6.00754
1476,19.616667
1477,15.575
1478,3.719444
1479,23.416667
1480,23.416667
1481,9.075
1482,10.294444
1483,1.838095
1484,22.641667
1485,23.416667
1486,3.43254
1487,3.705556
1488,12.444444
1489,23.041667
1490,5.322222
1491,15.588889
1492,5.663889
1493,19.325
1494,2.280556
1495,17.933333
1496,13.991667
1497,6.441667
1498,3.697222
1499,12.616667
1500,21.174206
1501,8.158333
1502,17.291667
1503,21.641667
1504,15.419444
1505,9.186111
1506,21.940873
1507,14.961111
1508,21.796429
1509,23.416667
1510,8.690873
1511,20.396429
1512,23.041667
1513,15.727778
1514,23.041667
1515,4.486111
1516,12.844444
1517,22.380556
1518,3.363889
1519,22.422222
1520,3.313889
1521,6.452778
1522,16.547222
1523,8.747222
1524,8.727778
1525,15.008333
1526,24.0
1527,21.396429
1528,23.963889
1529,19.675
1530,21.627778
1531,15.397222
1532,18.519444
1533,6.413889
1534,3.727778
1535,4.119444
1536,11.883333
1537,21.796429
1538,22.797222
1539,10.708333
1540,17.702778
1541,22.641667
1542,10.363889
1543,21.333333
1544,23.416667
1545,23.041667
1546,23.416667
1547,15.786111
1548,7.551984
1549,4.127778
1550,15.755556
1551,4.846429
1552,5.311111
1553,12.156746
1554,4.872222
1555,23.166667
1556,11.429762
1557,18.130556
1558,11.908333
1559,6.405556
1560,15.468651
1561,17.713889
1562,3.269444
1563,3.758333
1564,2.474206
1565,4.027778
1566,9.940873
1567,12.275
1568,5.205556
1569,9.516667
1570,7.938889
1571,15.030556
1572,23.975
1573,9.952778
1574,24.738889
1575,1.819444
1576,9.552778
1577,4.1
1578,17.766667
1579,24.544444
1580,7.777778
1581,5.697222
1582,18.3
1583,8.361111
1584,3.708333
1585,23.041667
1586,6.041667
1587,7.227778
1588,5.196429
1589,20.785317
1590,5.210317
1591,17.161111
1592,3.291667
1593,14.241667
1594,5.844444
1595,3.214484
1596,10.544444
1597,17.641667
1598,5.610317
1599,8.763889
1600,9.941667
1601,9.563889
1602,5.663889
1603,23.416667
1604,11.911111
1605,3.352778
1606,2.966667
1607,7.205556
1608,21.630556
1609,22.641667
1610,23.416667
1611,22.683333
1612,22.641667
1613,16.158333
1614,21.796429
1615,9.966667
1616,22.225
1617,20.933333
1618,5.683333
1619,3.027778
1620,2.513889
1621,3.261111
1622,2.344444
1623,6.041667
1624,13.772222
1625,11.505556
1626,2.869444
1627,21.627778
1628,16.575
1629,12.136706
1630,8.005556
1631,5.185317
1632,0.525
1633,8.786111
1634,3.730556
1635,13.475
1636,4.072222
1637,6.480556
1638,4.105556
1639,24.752778
1640,7.177778
1641,11.497222
1642,11.322222
1643,23.416667
1644,22.241667
1645,15.783333
1646,2.513889
1647,11.922222
1648,9.172222
1649,5.960317
1650,5.272222
1651,10.705556
1652,11.061111
1653,3.333333
1654,14.551984
1655,24.0
1656,7.165873
1657,5.20754
1658,4.130556
1659,18.858333
1660,9.583333
1661,22.641667
1662,5.275
1663,17.419444
1664,3.333333
1665,23.041667
1666,22.666667
1667,4.869444
1668,12.297222
1669,5.227778
1670,18.519444
1671,13.461111
1672,4.419444
1673,23.75
1674,7.943651
1675,4.486111
1676,13.047222
1677,2.485317
1678,2.952778
1679,3.458333
1680,22.791667
1681,12.1
1682,18.897222
1683,22.641667
1684,21.044444
1685,24.533333
1686,23.416667
1687,8.475
1688,10.35
1689,19.171429
1690,5.030556
1691,11.513889
1692,3.522222
1693,1.555556
1694,4.236111
1695,3.683333
1696,5.790873
1697,5.322222
1698,5.366667
1699,3.733333
1700,22.225
1701,2.952778
1702,13.463889
1703,12.811111
1704,22.183333
1705,7.277778
1706,5.908333
1707,17.755556
1708,7.608333
1709,11.105556
1710,3.722222
1711,3.755556
1712,20.891667
1713,19.088889
1714,14.951984
1715,21.866667
1716,23.041667
1717,21.796429
1718,18.130556
1719,24.0
1720,22.641667
1721,24.0
1722,10.016667
1723,23.75
1724,18.461111
1725,9.883333
1726,2.580556
1727,2.169444
1728,4.108333
1729,4.475
1730,2.972222
1731,8.411111
1732,21.475
1733,20.296429
1734,23.25
1735,14.980556
1736,3.911111
1737,21.975
1738,12.233333
1739,5.641667
1740,21.866667
1741,11.919444
1742,23.186111
1743,21.908333
1744,22.641667
1745,9.147222
1746,12.297222
1747,3.886111
1748,14.283333
1749,20.452778
