episode,reward
1,-10.659524
2,-13.583532
3,-7.2
4,-4.849405
5,-6.567857
6,-6.896429
7,-5.530754
8,-9.621825
9,-7.826786
10,-9.182143
11,-9.955556
12,-8.669246
13,0.102381
14,-6.308333
15,-7.813095
16,-6.846825
17,-11.750595
18,-0.241667
19,-2.131151
20,-11.656548
21,-5.379167
22,1.033333
23,-8.86369
24,-6.333333
25,3.303968
26,-10.272619
27,-7.995238
28,2.104762
29,-8.092659
30,-9.423214
31,-1.355159
32,-0.477778
33,2.861905
34,-13.373214
35,-2.742857
36,-3.955159
37,-9.59127
38,-8.284722
39,-13.893452
40,-2.078571
41,-6.24246
42,0.612302
43,-4.333333
44,0.729762
45,-8.164286
46,-4.452381
47,-9.870238
48,-10.216071
49,-10.362698
50,-0.955952
51,-4.110714
52,0.648016
53,-12.124405
54,-13.457143
55,-13.563095
56,-9.618254
57,-11.672619
58,-0.43869
59,-1.315873
60,-2.040476
61,-2.43373
62,5.775794
63,-8.890476
64,-2.439286
65,-7.805357
66,-7.745238
67,-12.290873
68,-9.850794
69,-9.487698
70,-3.928571
71,3.036508
72,-12.8875
73,-8.745238
74,1.855952
75,-10.144048
76,2.566667
77,-9.73373
78,4.25873
79,-5.60377
80,-10.195238
81,-2.657143
82,-13.939881
83,-8.008929
84,-12.155357
85,-10.042063
86,-17.002381
87,-2.613095
88,-7.861905
89,-8.146429
90,2.296825
91,-7.316667
92,-3.775595
93,-1.371825
94,-2.096627
95,1.888095
96,-8.881746
97,-3.264087
98,-6.655357
99,-3.781548
100,-3.970238
101,2.498413
102,-9.92381
103,-5.731548
104,-4.266071
105,-5.569643
106,-6.482143
107,-6.891667
108,5.728968
109,-2.308333
110,-3.575
111,5.490873
112,8.504365
113,7.072222
114,-8.832738
115,-2.151587
116,16.288095
117,0.027778
118,-1.19881
119,5.384524
120,-3.341667
121,-2.357143
122,-8.930952
123,3.743254
124,-9.792262
125,-10.485119
126,-7.641667
127,-4.564881
128,-1.331548
129,-5.247619
130,1.040476
131,0.655754
132,1.427778
133,-2.780159
134,3.261905
135,-9.895238
