episode,reward
1,-6.172619
2,-2.533532
3,-5.831349
4,-4.206548
5,-4.05
6,-0.214683
7,-2.080159
8,-8.322222
9,-6.934524
10,-4.894444
11,5.210714
12,-6.979365
13,-5.019048
14,-5.462698
15,-9.019643
16,-4.491667
17,-8.283333
18,-0.848016
19,-4.542063
20,-2.071032
21,-8.287897
22,-15.005357
23,-3.883333
24,-0.981548
25,-1.752381
26,-6.318651
27,-4.391667
28,5.511905
29,4.194444
30,-11.222024
31,-8.418254
32,-5.107937
33,-8.996429
34,-5.780159
35,-10.793651
36,-1.471825
37,1.376786
38,-6.898214
39,0.50754
40,1.316667
41,-13.032143
42,4.036508
43,-5.513095
44,-3.84881
45,3.675
46,-3.666667
47,-12.324206
48,-11.6875
49,-7.608333
50,-3.822619
51,-7.9875
52,-4.6375
53,-11.422619
54,-8.299008
55,-0.550595
56,5.253571
57,-4.480952
58,-7.957341
59,-0.955159
60,-7.941071
61,4.928175
62,-3.994841
63,-6.844048
64,-16.507143
65,-6.008333
66,-0.563095
67,-1.793452
68,0.169048
69,2.973016
70,2.619444
71,1.528571
72,6.596032
73,5.892857
74,-6.031746
75,0.147222
76,7.333333
77,1.564286
78,4.535317
79,-3.266667
80,4.46746
81,-3.77619
82,5.349206
83,6.333333
84,1.359524
85,0.674206
86,5.821429
87,6.124603
88,-3.165079
89,2.044841
90,1.425397
91,-3.178571
92,1.667063
93,2.214286
94,-4.989286
95,0.891667
96,2.333333
97,1.009127
98,5.178968
99,7.898413
100,3.033333
101,3.830952
102,0.862698
103,4.528968
104,12.829762
105,-2.421032
106,4.484524
107,8.588889
108,4.461508
109,6.703571
110,1.492063
111,0.169048
112,1.300198
113,0.775794
114,11.216667
115,5.110317
116,2.486508
117,1.164683
118,-1.454762
119,2.862302
120,7.148016
121,11.158333
122,2.046825
123,3.676984
124,0.201984
125,9.129762
126,6.483333
127,0.147619
128,7.938889
129,7.020635
130,6.063095
131,2.581548
132,5.135317
133,4.227381
134,11.24246
135,5.144444
136,-1.514286
137,-4.05
138,2.934524
139,4.594444
140,6.602778
141,11.036111
142,3.144444
143,10.36746
144,2.645635
145,12.65
146,3.233333
147,9.883333
148,8.583333
149,1.25754
150,17.477778
151,3.116667
152,0.843651
153,6.501587
154,14.758333
155,5.494048
156,1.066667
157,5.946825
158,-2.458333
159,4.47619
160,8.411111
161,5.249802
162,8.243254
163,2.537302
164,3.777778
165,3.124603
166,2.731746
167,10.00119
168,14.663889
169,10.344444
170,4.195238
171,9.620635
172,2.513492
173,17.175
174,-1.232937
175,3.944444
176,6.374603
177,1.949802
178,3.491667
179,5.165079
180,12.663889
181,6.357937
182,4.059921
183,14.729762
184,15.60119
185,12.075
186,2.827778
187,11.897222
188,10.141667
189,3.713889
190,2.410714
191,13.208333
192,9.998413
193,3.661905
194,5.483135
195,8.880556
196,5.933333
197,14.40119
198,9.915873
199,3.159524
200,15.333333
201,5.583333
202,6.812698
203,4.87619
204,6.256746
205,2.766667
206,10.230556
207,7.380556
208,13.875595
209,4.910317
210,2.943651
211,12.786111
212,12.972222
213,4.105159
214,7.244444
215,6.019444
216,14.373413
217,15.838889
218,-0.472222
219,11.725
220,7.445635
221,7.966667
222,6.802778
223,14.680556
224,5.748016
225,6.447619
226,17.016667
227,15.797024
228,3.615873
229,5.086905
230,10.328968
231,6.103571
232,8.731349
233,8.924603
234,12.908333
235,13.325
236,5.375
237,9.375
238,3.238889
239,12.391667
240,14.963889
241,18.711111
242,4.296825
243,3.227381
244,10.183333
245,11.888889
246,7.759921
247,19.916667
248,10.566667
249,4.508333
250,10.302778
251,18.896429
252,14.063889
253,6.674206
254,19.666667
255,16.771429
256,3.581746
257,3.819444
258,9.511111
259,5.661111
260,12.383333
261,4.309524
262,14.633333
263,12.665079
264,15.308333
265,16.271429
266,20.25
267,10.130556
268,5.3
269,14.391667
270,3.179762
271,7.672222
272,3.45754
273,2.375
274,14.746429
275,5.210714
276,6.346825
277,16.633333
278,19.25
279,16.841667
280,13.571032
281,4.778968
282,18.129762
283,7.170635
284,19.333333
285,5.755556
286,15.191667
287,8.411111
288,9.51627
289,16.941667
290,6.786111
291,14.325
292,22.297222
293,2.999802
294,2.789286
295,6.390079
296,15.366667
297,8.025
298,2.241667
299,2.575595
300,13.360317
301,17.433333
302,19.741667
303,11.636111
304,17.741667
305,9.184524
306,5.418651
307,9.649603
308,21.416667
309,19.85
310,15.575
311,7.347222
312,4.175
313,5.441468
314,17.366667
315,17.916667
316,20.666667
317,5.500397
318,5.580556
319,7.404762
320,14.892857
321,11.975
322,19.27619
323,19.475
324,5.721032
325,7.46131
326,12.852778
327,10.533333
328,21.35
329,17.479762
330,7.160317
331,13.544444
332,5.116667
333,16.333333
334,6.580556
335,9.341667
336,20.916667
337,16.894444
338,20.891667
339,6.658333
340,19.075
341,22.1
342,20.088889
343,2.725
344,21.266667
345,23.166667
346,21.083333
347,6.10754
348,11.355556
349,18.063095
350,10.666667
351,19.422222
352,19.891667
353,14.172222
354,7.252778
355,11.619444
356,21.5
357,18.35
358,16.775
359,6.302778
360,12.133333
361,19.516667
362,17.775
363,9.322222
364,19.825
365,3.925
366,14.366667
367,5.405556
368,18.725
369,14.547222
370,20.558333
371,17.269444
372,22.141667
373,7.089683
374,11.341667
375,9.447024
376,19.475
377,2.425
378,20.475
379,18.808333
380,18.488889
381,22.244444
382,14.425
383,22.5
384,3.808333
385,6.738889
386,11.421429
387,18.358333
388,7.808929
389,19.063889
390,9.765079
391,22.0
392,21.0
393,19.833333
394,15.466667
395,10.73254
396,21.391667
397,10.434127
398,12.558929
399,18.463889
400,14.505556
401,18.030556
402,10.658333
403,21.5
404,20.916667
405,18.266667
406,8.438889
407,16.95
408,13.091667
409,18.35
410,17.85
411,18.975
412,19.533333
413,19.975
414,12.891667
415,16.663095
416,22.0
417,15.225
418,10.336111
419,22.666667
420,5.658333
421,14.755556
422,18.275
423,19.158333
424,17.755357
425,17.166667
426,20.544444
427,18.45
428,18.975
429,3.440079
430,20.166667
431,14.905556
432,6.880556
433,15.496429
434,13.644444
435,10.880556
436,21.641667
437,17.51369
438,20.375
439,22.0
440,16.425
441,6.688889
442,22.0
443,5.325
444,17.646429
445,22.141667
446,18.254762
447,5.841667
448,11.294444
449,17.066667
450,23.5
451,14.533333
452,22.333333
453,9.572222
454,11.311111
455,21.046429
456,20.333333
457,14.433333
458,6.516667
459,4.88254
460,17.754762
461,5.391667
462,20.516667
463,19.141667
464,19.75
465,20.879762
466,21.75754
467,17.471429
468,4.822222
469,22.416667
470,21.333333
471,20.516667
472,19.808333
473,8.022222
474,22.208333
475,7.2
476,20.201984
477,20.25
478,6.047222
479,20.421429
480,21.75
481,20.097024
482,19.704762
483,19.466667
484,18.225
485,18.641667
486,21.916667
487,21.225
488,21.166667
489,22.666667
490,19.766667
491,3.85
492,4.512302
493,19.941667
494,22.75
495,19.658333
496,22.5
497,9.572222
498,21.25
499,18.933333
500,20.225
501,20.958333
502,3.956746
503,24.211111
504,12.686111
505,20.791667
506,12.772222
507,23.5
508,22.308333
509,20.166667
510,13.336111
511,11.977778
512,7.491667
513,19.991667
514,20.933333
515,20.916667
516,21.25
517,17.25
518,20.491667
519,22.041667
520,21.041667
521,22.75
522,20.141667
523,8.533333
524,21.625
525,21.546429
526,20.941667
527,19.891667
528,21.641667
529,21.225
530,4.694444
531,12.483333
532,19.683333
533,21.916667
534,14.394444
535,21.25
536,20.208333
537,22.0
538,22.666667
539,23.75
540,21.266667
541,19.2
542,21.419444
543,21.75
544,19.808333
545,22.208333
546,21.708333
547,21.916667
548,20.421429
549,22.458333
550,5.645635
551,20.391667
552,20.891667
553,21.183333
554,20.766667
555,21.975
556,21.6
557,20.296429
558,20.533333
559,18.766667
560,22.291667
561,23.25
562,23.0
563,20.975
564,17.283333
565,22.166667
566,22.75
567,19.752778
568,23.0
569,14.686111
570,21.766667
571,18.871429
572,3.533333
573,21.058333
574,19.275
575,20.008333
576,21.141667
577,18.016667
578,21.016667
579,12.405556
580,21.516667
581,19.766667
582,21.791667
583,22.333333
584,21.666667
585,22.291667
586,4.273413
587,16.905556
588,21.266667
589,22.708333
590,21.516667
591,20.075
592,20.975
593,19.6
594,10.90119
595,20.725
596,19.958333
597,21.558333
598,23.0
599,22.25
600,22.25
601,20.391667
602,7.058333
603,19.85
604,19.058333
605,19.725
606,22.141667
607,20.708333
608,17.179762
609,20.666667
610,20.671429
611,19.641667
612,21.341667
613,21.916667
614,20.975
615,21.708333
616,11.248413
617,21.558333
618,22.666667
619,22.75
620,21.516667
