episode,reward
1,0.979365
2,-4.359325
3,1.807143
4,5.24881
5,-5.475595
6,-4.353571
7,9.959921
8,-7.517262
9,0.302183
10,-6.700992
11,-13.997222
12,-5.555159
13,1.715079
14,-8.694246
15,-9.255952
16,-0.359921
17,-1.900595
18,-4.427579
19,2.598016
20,-6.917262
21,-2.74246
22,-9.496032
23,-7.874008
24,-7.644841
25,-8.375595
26,-3.233333
27,-6.764484
28,3.031746
29,-7.416071
30,-5.674405
31,-7.016667
32,-5.612302
33,-7.821032
34,-10.62381
35,0.188095
36,-1.795635
37,-2.541071
38,-6.516667
39,-6.183333
40,2.282937
41,-3.590278
42,2.496032
43,0.766667
44,-2.670238
45,-2.856349
46,1.335317
47,2.860714
48,-11.317857
49,2.15
50,-8.216667
51,-7.212698
52,3.478571
53,0.207143
54,3.71627
55,4.050595
56,-8.589087
57,1.29881
58,5.916667
59,-5.684524
60,-7.304762
61,-7.122619
62,-1.943452
63,-3.99881
64,3.334127
65,0.559127
66,2.974206
67,3.335317
68,-5.4125
69,8.052778
70,0.001984
71,1.666667
72,1.767063
73,4.266667
74,6.427778
75,-3.943452
76,0.379762
77,-6.740476
78,4.544444
79,4.448413
80,-4.537897
81,4.686905
82,2.870635
83,3.508333
84,-1.043651
85,1.730357
86,-3.845238
87,-5.189286
88,-1.26746
89,0.483333
90,0.402381
91,2.970635
92,2.653968
93,-3.830556
94,-1.265476
95,4.002778
96,4.755159
97,5.852778
98,4.808333
99,0.758333
100,-0.933333
101,3.880556
102,6.167262
103,3.352778
104,6.141667
105,4.948214
106,4.260317
107,4.939683
108,10.791667
109,-2.025
110,6.682937
111,0.790873
112,4.091667
113,4.323413
114,17.541667
115,3.911111
116,2.375
117,2.284524
118,3.393651
119,-1.416667
120,4.482937
121,3.442857
122,6.091468
123,7.891667
124,0.87619
125,3.902778
126,11.207937
127,7.294444
128,8.210913
129,-0.291667
130,4.055159
131,9.725
132,-0.20119
133,1.259127
134,4.310317
135,3.725
136,5.14127
137,4.55
138,11.008333
139,3.385516
140,4.669444
141,5.033333
142,2.949206
143,3.002579
144,17.366667
145,3.830159
146,8.236905
147,2.945635
148,9.275595
149,6.268254
150,14.411111
151,4.622222
152,3.473016
153,10.425
154,2.437302
155,8.548611
156,5.153968
157,4.461111
158,9.625
159,2.509921
160,0.971825
161,-2.884921
162,9.877778
163,12.408929
164,11.95
165,5.94881
166,5.5
167,9.347222
168,8.083333
169,3.563889
170,4.544444
171,4.927381
172,5.743254
173,2.577778
174,6.20119
175,7.352381
176,10.538889
177,-0.038889
178,12.869444
179,13.333333
180,1.515873
181,8.02877
182,6.108333
183,4.635317
184,13.577381
185,-0.069444
186,10.509524
187,1.662302
188,6.866667
189,10.179762
190,4.165476
191,10.291667
192,-1.353571
193,2.196032
194,2.884921
195,9.019048
196,7.966667
197,5.580159
198,2.907937
199,2.522222
200,3.644841
201,4.978968
202,2.660317
203,3.906349
204,8.861111
205,4.642857
206,7.216667
207,0.875
208,15.491667
209,12.761111
210,4.156349
211,12.716667
212,4.003968
213,11.34127
214,18.377778
215,17.141667
216,15.644444
217,17.408333
218,3.718651
219,6.369444
220,9.572817
221,12.875
222,5.05
223,18.916667
224,3.222222
225,1.670635
226,18.5
227,4.090079
228,4.063889
229,4.637302
230,13.602778
231,9.108333
232,11.883333
233,8.622222
234,8.994444
235,14.846429
236,14.780159
237,6.133333
238,15.913889
239,4.002778
240,16.308333
241,4.713889
242,6.883135
243,14.506151
244,3.197619
245,16.247817
246,14.357937
247,13.085317
248,18.485913
249,21.280556
250,1.548413
251,5.178968
252,12.313889
253,19.683333
254,4.297222
255,10.741667
256,13.804762
257,9.325
258,20.683333
259,9.216667
260,17.225
261,6.169444
262,8.3
263,3.661111
264,2.325794
265,8.842857
266,3.815873
267,17.766667
268,15.272222
269,6.869444
270,2.566468
271,2.907937
272,17.016667
273,5.563889
274,3.754365
275,5.583333
276,21.0
277,12.441667
278,3.936111
279,7.294444
280,7.553968
281,19.741667
282,5.243254
283,4.409722
284,7.662302
285,21.225
286,19.741667
287,12.280556
288,16.411111
289,6.136111
290,16.563095
291,15.633333
292,8.460714
293,15.940873
294,17.839484
295,4.855556
296,6.152778
297,19.7
298,9.777778
299,20.266667
300,14.913889
301,2.903175
302,7.216667
303,21.666667
304,17.116667
305,13.449603
306,4.744048
307,15.633333
308,2.62619
309,16.844444
310,5.643254
311,21.166667
312,3.348413
313,13.965873
314,3.823413
315,2.045635
316,14.138492
317,10.644444
318,7.30119
319,20.25
320,8.794444
321,5.102381
322,19.35
323,12.354762
324,15.042262
325,10.051984
326,13.95
327,15.146429
328,18.2
329,2.840079
330,6.558333
